,warehouse_1,warehouse_2,warehouse_3,warehouse_4,warehouse_5,warehouse_6,warehouse_7,warehouse_8,warehouse_9,warehouse_10,warehouse_11,warehouse_12,warehouse_13
product_1,0,1,2,3,4,5,6,7,8,9,10,11,12
product_2,0,0,0,0,46,41,0,0,0,0,0,0,0
product_3,0,0,0,0,0,1,0,0,0,0,0,0,0
product_4,0,0,0,0,364,9,0,0,0,0,2,0,0
product_5,0,0,0,0,0,1,0,0,0,0,0,0,0
product_6,0,0,0,1,4,15,0,0,0,0,0,0,0
product_7,1,0,0,0,261,382,0,0,0,0,0,0,0
product_8,0,0,0,1,541,0,0,0,0,0,0,0,0
product_9,0,0,13,0,35,0,0,0,0,20,3,0,0
product_10,0,1,2,0,0,4,0,0,0,0,10,0,0
product_11,0,0,0,0,83,8,0,0,0,0,0,0,0
product_12,0,0,0,0,1,0,0,0,0,0,0,0,0
product_13,0,0,0,0,28,0,0,0,0,0,0,0,0
product_14,0,0,0,0,0,13,0,0,0,0,0,0,0
product_15,0,0,0,0,0,27,0,0,0,0,0,0,0
product_16,0,0,0,0,1,1,0,0,0,0,0,0,0
product_17,0,0,0,0,0,155,0,0,0,0,0,0,0
product_18,0,0,2,0,2,0,0,0,0,0,0,0,0
product_19,0,0,0,0,0,1,0,0,0,0,0,0,0
product_20,2,1,1,3,514,581,0,0,114,0,1,1,0
product_21,0,1,1,0,193,4,0,0,0,0,0,0,0
product_22,0,0,0,0,3,0,0,0,0,0,0,0,0
product_23,0,0,0,0,1,0,0,0,0,0,0,0,0
product_24,1,0,0,0,340,0,0,0,0,0,0,0,0
product_25,1,0,1,2,579,0,3,0,0,0,7,3,0
product_26,0,0,0,0,55,0,0,0,0,0,0,0,0
product_27,0,1,5,0,0,0,0,0,0,1,0,63,0
product_28,0,0,0,0,12,0,0,0,0,0,0,0,0
product_29,0,0,0,0,28,0,0,0,0,0,0,0,0
product_30,0,0,0,0,3,4,0,0,0,0,0,0,0
product_31,0,0,0,0,0,160,0,0,0,0,0,0,0
product_32,0,0,0,0,0,0,0,0,0,10,0,0,0
product_33,0,0,0,0,2,0,0,0,0,0,0,0,0
product_34,0,0,15,0,7,0,0,0,0,0,16,0,0
product_35,1,0,0,0,0,0,0,0,7,0,21,1,0
product_36,14,0,0,0,0,0,1,0,3,0,0,0,0
product_37,0,313,0,0,1,57,0,0,1,20,0,294,0
product_38,26,15,0,0,0,19,0,0,0,0,13,0,0
product_39,37,0,0,0,2,0,0,0,1,4,0,0,0
product_40,71,14,0,0,0,11,0,0,0,129,0,0,0
product_41,0,0,0,0,0,0,0,0,2,0,0,0,0
product_42,0,1,1,0,6,2,0,0,0,5,1,0,0
product_43,0,0,0,0,0,0,0,0,6,2,0,0,0
product_44,0,1,0,0,0,1,0,0,1,0,0,0,0
product_45,0,0,0,0,0,0,0,0,0,2,1,0,0
product_46,0,0,0,0,1,0,0,0,0,0,0,0,0
product_47,327,0,1,1,0,0,0,0,0,6,1,0,0
product_48,66,1,0,0,0,0,0,0,217,319,298,0,0
product_49,0,0,0,0,0,6,0,0,0,6,0,0,0
product_50,10,0,12,0,4,5,0,0,18,5,12,0,0
product_51,0,0,0,0,10,1,0,0,0,14,2,0,0
product_52,0,21,0,0,0,26,0,0,0,0,0,0,0
product_53,1,1,1,1,29,1,0,0,5,14,1,0,0
product_54,0,0,0,0,0,0,0,3247,0,0,0,578,0
product_55,0,0,0,0,0,0,0,0,1,0,0,0,0
product_56,0,0,0,0,0,29,0,0,0,0,0,0,0
product_57,102,145,0,0,0,59,0,0,39,128,1030,0,0
product_58,0,0,0,0,0,1,0,0,0,0,0,0,0
product_59,0,26,0,0,0,4,0,0,3,0,0,0,0
product_60,8,0,0,0,4,3,0,0,0,6,0,2,0
product_61,15,22,0,0,1097,1,0,0,0,0,0,0,0
product_62,0,0,0,0,0,1,0,0,0,0,0,0,0
product_63,0,51,0,0,0,0,0,0,0,3,0,0,0
product_64,0,0,0,0,0,1,0,0,0,0,0,0,0
product_65,0,0,1,0,0,7,0,0,0,0,1,6,0
